,Unnamed: 0,song_id,song_length,genre_ids,artist_name,composer,lyricist,language
1066,1181,6QJwkvp5DrvT0vdVtXzS3/4w4raGoN/pYiBKpoCWSyQ=,197626,['359'],['Cage The Elephant'],['Cage The Elephant'],['Cage The Elephant'],52.0
1067,1182,nYd1rTYEfTWwm9J5UGrtGPKNiPMQPUzIrGZRC+QCSDc=,171676,['359'],['Various Artists'],"['Gus Unger-Hamilton', ' Joe Newman', ' Thom Green']","['Gus Unger-Hamilton', ' Joe Newman', ' Thom Green']",52.0
1073,1188,ze0+7p13wqB1hZ/KWd6OT42LBehKmYVQyGGzEv8Q4fA=,255503,['921'],['Sam Kim'],"['Nam Hyeseung', ' Park Jinho']","['Nam Hyeseung', ' Park Jinho']",31.0
1074,1189,V7NowOjLb5pNj82kOGRtB9YCdKDM+WlkI3+A7LFyDsU=,167000,"['1616', '1609']",['Alan Walker'],"['Alan Walker', ' Jesper Borgen', ' Anders Froen', ' Gunnar Greve', ' David Silva Fernández']","['Alan Walker', ' Jesper Borgen', ' Anders Froen', ' Gunnar Greve']",52.0
1076,1191,9DAt/4pjTolwtwDLxG7NhrTjradKQ4LWkA6AasR2Rvc=,228293,['2022'],['John Mayer'],['John Mayer'],['John Mayer'],52.0
1077,1192,/PdB3ZuXyLuIDXFwTqXQFx7timRFQZyHoGNU2Th2Apk=,213275,['465'],['Britney Spears'],"['Max Martin', ' Shellback', ' Tiffany Amber']","['Max Martin', ' Shellback', ' Tiffany Amber']",52.0
1079,1195,CBo3ZA230j5VK02g0mNauChMQC4QmYwL7gO+7qNFxtU=,245585,['465'],['The Script'],"['Mark Sheehan', ""Daniel O'Donoghue"", 'James Barry']","['Mark Sheehan', ""Daniel O'Donoghue"", 'James Barry']",52.0
1080,1196,nD1gGm0/jzeOGn9Z4sp41WK+WPcDykpGY+Ymp1uJkLY=,241056,['465'],['Various Artists'],['Shin Jung Hyeon'],['Shin Jung Hyeon'],31.0
1081,1197,1wtR5ZJrRyZZXisSQJv3Xfkd//Eq89sOSnCwzkGPArM=,251715,['458'],['Dizzy Dizzo'],"['Dominique Tsai', ' Skot Suyama']",['Wei-Kai Cui'],3.0
1083,1199,a8WFhNqBs7QP269a6DAwsJXTogy0Jq0UjEX80j+U9mQ=,252115,['1152'],['Bebel Gilberto'],['Bebel Gilberto'],['Bebel Gilberto'],-1.0
1084,1200,eGPv4fUfcSXBIF7yi3a4ZZTnLazzYj9WHrtWRBNg3gs=,239945,['1011'],['Carrie Underwood'],"['Morgane Hayes', 'Kelley Lovelace', 'Ashley Gorley']","['Morgane Hayes', 'Kelley Lovelace', 'Ashley Gorley']",52.0
1085,1201,8tY/J/gWO3Pe7lsIR58Lr1nNAVfiWaEWquKgJRKuXFs=,215048,['465'],['The Script'],"[""Daniel O'Donoghue"", 'Mark Sheehan']","[""Daniel O'Donoghue"", 'Mark Sheehan']",52.0
1086,1202,6oMr65QGfyE8Ajhz11I5EPvvi8VeIl7OaQPXf3Sugio=,229041,['465'],['Rebecca Ferguson'],"['Virginia McGrail', ' Aeon Manahan']","['Virginia McGrail', ' Aeon Manahan']",52.0
1087,1203,TekOHrsssQJD+d6tolJkaTDxX+J5FXLbqPci1Zejw34=,200019,['465'],['JOYCE JONATHAN'],['Joyce Jonathan'],['Anthony Marciano'],52.0
1088,1204,uYEqCOaV6K6q6jeUruly7E04g8yIYv9ufjjyw9gGgYA=,232291,['465'],['Avril Lavigne'],"['Avril Lavigne', ' Evan Taubenfeld']","['Avril Lavigne', ' Evan Taubenfeld']",52.0
1089,1205,Rke520wFWolpinegyY+Bz+0izC+sphcIBX5awSljSss=,314400,['458'],['Musou Band'],['V.K Ke'],['Yi-Fan Chen'],-1.0
1091,1207,h9HWK0wwoAZUlVrgU4D8TN/Wn+aPkno6tKNjkjwyjGI=,280476,['465'],['Celine Dion'],['James Horner'],['Will Jennings'],52.0
1092,1208,APy3zzubic00MFTAF1PH1fw1NZlwygLzG9W20eougz4=,251286,['359'],['The Neighbourhood'],"['Jesse James Rutherford', 'Emile Haynie', 'Zachary Abels', 'Jeremy Freedman', 'Michael Margott', 'Bryan Sammis']",['Jesse James Rutherford'],52.0
1094,1210,o26PUxslcHNKXSMQYVLOAx4s1/qoLjpd1f0+jTEMFjc=,212933,['465'],['Kelly Clarkson'],"['Kelly Clarkson', 'Greg Kurstin']","['Kelly Clarkson', 'Greg Kurstin']",52.0
1095,1211,uHkOOWbnI4502kisYvvB0bKDPwTgVoZJl7Hc4GTRe+k=,308897,['1609'],"['Digital Farm Animals', ' Cash Cash']","['Nicholas James Gale', ' Cornell Iral', ' Jr. Haynes']","['Nicholas James Gale', ' Cornell Iral', ' Jr. Haynes']",52.0
1097,1213,gjyG22VcthnTp4lMBElfKBkc/PsnbsmSqIgVMiTkVbE=,231026,['465'],['Domestic Cat JiAe'],['Yang Jiho'],['Yang Jiho'],31.0
1104,1221,0C7bGv+8d7MzdUQ+7NeRc0+VMRHBLBVIoYiz54ddWLo=,279661,['465'],['Bernard Butler'],['Bernard Butler'],['Bernard Butler'],52.0
1107,1224,pGfZhgsl2m5Q5ITNIfO75kvSHR/9vKddQ1hc9KPpmA0=,269165,['829'],['Yun Ddan Ddan'],['Yun Ddan Ddan'],['Yun Ddan Ddan'],31.0
1111,1229,aj1Iccjq9QTVmY7udiCiGjnpeUGKrGrOfMFu/8jJs3A=,265351,['465'],['Robbie Williams'],"['Rufus Wainwright', ' Robert Williams', ' Guy Chambers']","['Rufus Wainwright', ' Robert Williams', ' Guy Chambers']",52.0
1112,1230,fT3MXVEEwWZ2pHx5hNa9/DRJT4p3faIsWXBqgHVnh1A=,195030,['1616'],"['Martin Garrix', ' Jay Hardway']","['Martijn Garritsen', ' Jobke Heiblom']","['Martijn Garritsen', ' Jobke Heiblom']",52.0
1115,1233,GlKzQGEdh9WQke98JGGIV8UYhZdIwmMVq4518kjHatk=,276375,['465'],['Suda Band'],['Choi Hyegyeong'],['Choi Hyegyeong'],31.0
1119,1238,8q8cylSItoE3bwlxeDvWjRVDLSP3o+rZX9raMvtIRAQ=,246340,['958'],['Russell Watson'],"['Francis Lai', ' Carl Sigman']","['Francis Lai', ' Carl Sigman']",-1.0
1121,1240,kFvrrEvmi1G4nmZ4KDGxweP1iW5dJXKLDsO88l8hXe4=,186671,"['1616', '2058']",['DJ Jay-T'],['Tobias Müller'],['Tobias Müller'],52.0
1123,1243,ycSD8ZNLUgkatNdhY0aChBQpP/IDrn2VQTKc97DTxtg=,287775,['465'],['Celine Dion'],"['Hasham Hussain', 'Denarius Motes', 'Sia Furler']","['Hasham Hussain', 'Denarius Motes', 'Sia Furler']",52.0
1124,1244,Rdy15/JMUhLU2iRYHvjsC8r7jzYOhDlzvh6DxP/PM6Q=,218070,['465'],['Various Artists'],"['TEDDY ', ' TAEYANG']","['TEDDY ', ' T.O.P ', ' G-DRAGON']",31.0
1125,1245,xQr9iS440LULG3owIOq6pEsJFw8gIsDxndRl5nsYc6E=,243513,['465'],['Empire Cast'],"['Shaffer Smith', ' Charles T. Harmon']","['Shaffer Smith', ' Charles T. Harmon']",52.0
1126,1246,DoxHY1k6AnL/0PE2jDlh8vrVETd0vEOy/mXJEDQkEXc=,206262,['829'],['Songmi Lee'],['Songmi Lee'],['Songmi Lee'],31.0
1128,1248,2nuFne2xw2Yqy8MqDnJX6hepnx7vmTrDo+x62tZfDFI=,280764,['465'],['Various Artists'],['Xiong Mei Ling'],['Lin Qiu Li'],3.0
1130,1250,4DzYjh14PikEwK8tn6FpUCL0HYTlvtK7ZCkxwRlPdvw=,234422,['1616'],['Martin Garrix'],"['Martijn Garritsen', ' Giorgio Tuinfort', ' Simon Strömstedt', ' Keith Varon', ' McKay Stevens', ' Chad Wolf']","['Martijn Garritsen', ' Giorgio Tuinfort', ' Simon Strömstedt', ' Keith Varon', ' McKay Stevens', ' Chad Wolf']",52.0
1131,1251,geS7Lfy61osCHXesDCjc28CJm9Zr3rv5bBHBaOFMw4A=,280293,['465'],['Celine Dion'],['James Horner'],['Will Jennings'],52.0
1136,1256,sNwKijdp0sXxRLeR3aD9fpWy5nbVrPCV+XRcTudFO1Y=,171948,['1259'],['Big Grams'],"['Antwan Patton', ' Chris Carmouche', ' Hollis Mason', ' Patrick Douthit', ' M. Butler', ' L. Hanks', ' Z. Grey']","['Antwan Patton', ' Chris Carmouche', ' Hollis Mason', ' Patrick Douthit', ' M. Butler', ' L. Hanks', ' Z. Grey']",52.0
1137,1257,WXU/cP4cR1uiCC9wffhntczzH3Da2HQyqU5AH+VcJE4=,234588,['1011'],['Willie Nelson'],['George Gershwin'],"['Ira Gershwin', 'DuBose Heyward']",52.0
1138,1258,ylMVR0km5/eCq/gz+qNCXr3nSoKvLK1zbtILonhfKwg=,168881,['2022'],['David Gates'],['David Gates'],['David Gates'],52.0
1140,1260,2XEFs07YArCtqCkyLuhFC2PSNDmU843THazeVJIXNaw=,200083,['465'],['One Direction'],"['Rami Yacoub', 'Savan Kotecha', 'Carl Falk']","['Rami Yacoub', 'Savan Kotecha', 'Carl Falk']",52.0
1141,1261,RtlETTWlsSjMij0osRv/QehAQjCg71PtdwyY14Aj3yg=,270001,['465'],['The Goo Goo Dolls'],['John T. Rzeznik'],['John T. Rzeznik'],52.0
1142,1262,2zC0Kmdl5Y04TwJSB3Z30VotJkt33xGz4CKmlkHad/g=,169463,['465'],['Bars and Melody'],"['Frederick Taylor', 'Carl Terrell Mitchell', 'Thomas Decarlo Callaway', 'Leondre Devries', 'Charlie Lenehan']","['Frederick Taylor', 'Carl Terrell Mitchell', 'Thomas Decarlo Callaway', 'Leondre Devries', 'Charlie Lenehan']",52.0
1146,1266,UC4L7mcHa3YFzLcRh90jvTCJNQuGra5KW2z9ezjaqK4=,207395,['465'],['Britney Spears'],"['Britney Spears', ' Allan P. Grigg']","['Britney Spears', ' Allan P. Grigg']",52.0
1148,1271,iQCto/Z0YTJt3v5grd91epfcUuE++WNtXLlRx+QNmks=,295584,['359'],['The Airborne Toxic Event'],['Mikel Jollett'],['Mikel Jollett'],52.0
1149,1272,RtKgcG9QhzHNeBDCu39f9XeaimgYnE7Ol9y9GGS/2S0=,179983,['430'],['Tom Odell'],"['Hugh Martin', ' Ralph Blane']","['Hugh Martin', ' Ralph Blane']",52.0
1152,1276,sBeYP+Xr01TDHGFhBUBEaoTlMj1F4noYZINEzEXpJ/w=,214578,['958'],['Lexi Walker'],['Jerry Herman'],['Jerry Herman'],-1.0
1156,1281,UZ44ockmiHzLr1k9s2H9Gw8YJm1YBzGJB3Y1LykvfWA=,173244,"['352', '1995']","[""Rag'N'Bone Man""]","['Rory Graham', ' Tinashe Fazakerley', ' Daniel Priddy', ' Mark Crew']","['Rory Graham', ' Tinashe Fazakerley', ' Daniel Priddy', ' Mark Crew']",52.0
1157,1282,0zV7D+WMl12sEQs7O9bjquVC8gTMLGZq/mSdg9gmVgo=,227588,['829'],['Kygo & Kyla La Grange'],['Kyla La Grange'],['Kyla La Grange'],52.0
1160,1285,W1T71tHET9BHlgVVaSa1Qjfm1j8tOAAUGNfuCqMMUjU=,262269,"['444', '465']",['Lee Young Hoon'],['Lee Young Hoon'],['Lee Young Hoon'],31.0
1161,1286,myb90iMFSrnqrAJrEdLrQnfU2utUybt09gs1gc5DUAM=,216920,['465'],['Stevie Hoang'],['Stevie Hoang'],['Stevie Hoang'],17.0
1162,1287,tcaKNGzRBG4QI1nGXvGLxPDDtvpYmMekyP5hVrJY2qk=,263506,['359'],['Foster The People'],"['Mark Foster', ' Greg Kurstin']","['Mark Foster', ' Greg Kurstin']",52.0
1165,1290,9AYbsYOumDZKuaD4uPMpPTDGWpQWyXNNofq9SswEgvQ=,229982,['1259'],['Choi Sam'],['Choi Sam'],['Choi Sam'],31.0
1166,1291,uJG4r58/gVlLkOE17Q1GSRJ2mRjoYangdKEGPBq47Zo=,233351,['465'],['Debbie Gibson'],['Debbie Gibson'],['Debbie Gibson'],52.0
1169,1294,hEAI7vcoCmU1fvbJfWjFNvi9+cJZpFO5nCFSWPdYuYs=,261574,['1259'],['Juicy J'],"['Chris Brown', ' Jordan Houston', ' Cameron Thomaz']","['Chris Brown', ' Jordan Houston', ' Cameron Thomaz']",52.0
1170,1297,h9pW1bHw58C0z+bQgoZvaf3e04Mk83toGpDCWihR2Iw=,303186,['139'],['John Legend'],['John Stephens'],['John Stephens'],52.0
1171,1298,uxC0qqXEkaQvd+EWAn7VJzhOGSNks+eHLyFajvh/7rM=,233691,['465'],['JUNG YONG HWA'],['Jung Young Hwa'],['Jung Young Hwa'],31.0
1172,1299,3xANXnTHFmZHOxACpnfoo4bqw7XKMd11wrbOcjX88AI=,267609,['2022'],['Black Sabbath'],"['Frank Iommi', ' Ozzy Osbourne', ' William Ward', ' Terrence Butler']","['Frank Iommi', ' Ozzy Osbourne', ' William Ward', ' Terrence Butler']",-1.0
1173,1300,MGngEAvH4cevfscTps2uyOOZqt8HMF5OSOMeiq3yK/Q=,202458,['465'],['Rachel Platten'],"['Rachel Platten', 'Dave Bassett']","['Rachel Platten', 'Dave Bassett']",52.0
1174,1301,e1uCFUdGy8V8Fyo2pwvAN38ulQcyaI9m5bPewy/kiZc=,211913,['465'],['The Script'],"[""Daniel O'Donoghue"", 'Mark Sheehan', 'James Barry']","[""Daniel O'Donoghue"", 'Mark Sheehan', 'James Barry']",52.0
1176,1303,PQ28l86h5P2k+oY0XT/wSTOLktgAuYQ5hDtf7dSzaUs=,182840,['1259'],['Yo Gotti'],"['Mario Mims', ' Khaled Khaled', ' Benjamin Diehl', ' Ian Lewis']","['Mario Mims', ' Khaled Khaled', ' Benjamin Diehl', ' Ian Lewis']",52.0
1177,1304,HBZqxnBFHh/zsuoY22xmUbT3T363WZnMfldWQTQopgQ=,238271,['465'],"[""I'm Sejun""]","[""I'm Sejun""]","[""I'm Sejun""]",31.0
1179,1306,RpHh1yf/+pHgj7geHQEEONk/cD41TiLKbje5IXQPnK8=,261146,['465'],['Frida Amundsen'],['Frida Amundsen'],['Frida Amundsen'],52.0
1182,1309,95nOX0uo9zKR3bkLjXmpd4wJ+6SGnUY8XfW7OFt0vU0=,225028,['139'],['Chris Brown'],"['Chris Brown', ' Antonio Stith', ' Omega Shelton', ' Irvin Whitlow']","['Chris Brown', ' Antonio Stith', ' Omega Shelton', ' Irvin Whitlow']",52.0
1191,1319,TgnLgCjnXCj7Ell6KLoQOiFzhD3QzlaBm/5QwDUHhw8=,183484,['465'],['Stevie Hoang'],['Stevie Hoang'],['Stevie Hoang'],17.0
1192,1321,lN+9ybumTUnqmrfFgXiphqtltPvlL2HOC0OglOwGHfc=,255327,['465'],['Clazziquai Project'],['KIM SUNG HOON'],['KIM SUNG HOON / HORAN'],31.0
1193,1322,SlCznxPH2WnopgbJNZg3D3IuZ9d8NqO7ajr2tKA7K5U=,186158,['465'],['Lost Causes'],['Max Martin'],['Max Martin'],52.0
1196,1325,489JwFHcIFiSkEOqV9VJ+MXwlV1brlyhYg1+SrHs5vI=,262750,['465'],['One Direction'],"['Ed Sheeran', 'Si Hulbert']","['Ed Sheeran', 'Si Hulbert']",52.0
1199,1329,NCgXrG5sNtj/5HYCkqcES2aKRXyjO5hk/qyABXFscjY=,182694,['359'],['Arctic Monkeys'],['Arctic Monkeys'],['Alex Turner'],52.0
1205,1336,gNyXq/rS46rD2KemFy+qD/SPgRgOH0sdCWL3WlnsBPY=,285840,['921'],['The Lucky one－O.S.T'],"['Terrance Simien', ' Danny Williams']","['Terrance Simien', ' Danny Williams']",52.0
1207,1339,JCJ29qVIvEQYkJYfw8f71pGIzSF6mbCYCyjPzS8aTTk=,162125,['465'],['Susan Boyle'],['Arthur Hamilton'],['Arthur Hamilton'],52.0
1210,1343,LpxMt5HNLdDp09R0WHx9hnpYKEMkFh5M6gbqeRCT+84=,252540,['465'],['The Script'],"[""Daniel O'Donoghue"", ' Mark Sheehan']","[""Daniel O'Donoghue"", ' Mark Sheehan']",52.0
1211,1344,fFSPf5KU1kLJ0X4BD6TXKiVil3qBpBZCheX4njBLipY=,204486,['1609'],['Craig David'],"['Craig David', ' Tom Barnes', ' Uzoechi Emenike', ' Ben Kohn', ' Pete Kelleher']","['Craig David', ' Tom Barnes', ' Uzoechi Emenike', ' Ben Kohn', ' Pete Kelleher']",52.0
1212,1345,gcOuDpHFJVQTozp3ClhX2wn3dk9YIEgKCshZ87RJBqk=,283422,['465'],['Kim Jinho'],['Jinho Kim (SG Wannabe)'],['Jinho Kim (SG Wannabe)'],31.0
1213,1346,HUXecJ+idhuhcfAHw0y2R/zjQHoiZyX/JeaM/JBEbhs=,186496,['465'],['CRAYON POP'],['Dumb & Dumber'],['Dumb & Dumber'],31.0
1217,1351,gF0638k5gLUDonqfm0DTZcYsGT9yyDxfLNftFls0xjk=,185234,['1609'],['Craig David'],"['Craig David', ' Scott Wild', ' Tyrone Lindo']","['Craig David', ' Scott Wild', ' Tyrone Lindo']",52.0
1218,1352,I5MuU2VGGGw+QFOdIGIXTWtYi286c5CBllbav/Kgrd0=,233569,['465'],['James Arthur'],"['James Arthur', ' Shahid Khan', ' Phil Lested', ' Grace Ackerman']","['James Arthur', ' Shahid Khan', ' Phil Lested', ' Grace Ackerman']",52.0
1222,1357,JzOojFt7PH3+a6DqOB8qNnKC6XPkkODbsND9BQ7yXYA=,217244,['465'],['Christina Aguilera'],"['Steve Kipner', 'David Frank', 'Pam Sheyne']","['Steve Kipner', 'David Frank', 'Pam Sheyne']",52.0
1227,1363,5wWzP0IDslJXVSgFlWxumlMDlMPTZbWav+XTreZQ1U0=,204460,['465'],['Britney Spears'],"['Ian Kirkpatrick', ' Simon Wilcox', ' Chantal Kreviazuk']","['Ian Kirkpatrick', ' Simon Wilcox', ' Chantal Kreviazuk']",52.0
1230,1369,CEUi/aEP92tgyGJ+Teq7M5NjztXFC5wwBRhE8kFyR20=,268564,['465'],['Delta Goodrem'],"['Delta Goodrem', ' Gizzle', ' Johnny Powers', ' Vince Pizzinga', ' Ameerah Roelants', ' Zac Poor']","['Delta Goodrem', ' Gizzle', ' Johnny Powers', ' Vince Pizzinga', ' Ameerah Roelants', ' Zac Poor']",52.0
1232,1373,L5JXVcu4RQo4BLFnfaNdEgvI4NY+WiSu3IgHciIj/MA=,283376,['2022'],['Marilyn Manson'],['Tyler Bates'],['Marilyn Manson'],52.0
1233,1374,NVn/PCg9VhpPiMhnNpAk3DF/pl+bdKVzeDXYGAGcYGE=,160835,['139'],['Alicia Keys'],['Alicia Keys'],['Alicia Keys'],52.0
1236,1378,v42o9lTeFI2Nf4BbtRlZlVlNI7gSBybwzhvcROF3i4s=,198489,['465'],['Rita Ora'],"['Chris Brown', 'James Abrahart', 'Balazs Harko', 'Robin Ellingsen', 'Rosina Russell', 'Tinashe Sibanda', 'Marcus Lomax', 'Jordan Johnson', 'Stefan Johnson']","['Chris Brown', 'James Abrahart', 'Balazs Harko', 'Robin Ellingsen', 'Rosina Russell', 'Tinashe Sibanda', 'Marcus Lomax', 'Jordan Johnson', 'Stefan Johnson']",52.0
1243,1386,p4GocSSC9+8jH2w8b1DKwVP4vcQB4Fpd38TfPUcVLxY=,261574,['1259'],['Juicy J'],"['Chris Brown', ' Jordan Houston', ' Cameron Thomaz']","['Chris Brown', ' Jordan Houston', ' Cameron Thomaz']",52.0
1248,1392,udoWWrUhdmQG/4iEGMYNDoIxlO0D+wdZcuQxSszCkYg=,236600,['465'],"[""Gigi D'Alessio""]","[""Luigi D'Alessio""]","[""Vincenzo D'Agostino""]",52.0
1250,1394,0/01xYmPvvjImgkJO6SjwGKRal/+Nxf6Yv4i3qJ59YU=,317936,['465'],['Zara Larsson'],"['Emanuel Abrahamsson', ' Mack', ' Iman Hultén', ' Linnea Södahl', ' Fridolin Walcher', ' Christoph Bauss']","['Emanuel Abrahamsson', ' Mack', ' Iman Hultén', ' Linnea Södahl', ' Fridolin Walcher', ' Christoph Bauss']",52.0
1252,1396,hVgFsCPi9fDlu6VIXW1u0xXig+3aXfuVpCCXcxV8f9Q=,289111,['139'],['R. Kelly'],['R. Kelly'],['R. Kelly'],52.0
1265,1409,tnzSasyFjgY9yCjPnT2SHkZpfHZZ9qb7yWw6TRlWpR4=,194594,['1609'],['Shift K3Y'],"['Lewis Jankel', ' Paris Del Fabbro']","['Lewis Jankel', ' Paris Del Fabbro']",-1.0
1267,1411,dN8MMEIwEIXBCJM5TdDRz3NeEHnAeoCv9LosJoUKzTY=,198644,['444'],['Various Artists'],['Yong Pil Cho'],['Soon Gon Kim'],31.0
1271,1416,zdaT24h1d6vdnnRgwYLeUQc8mpCoagGrlSAroX1UAE8=,207658,['880'],['Kerrie Roberts'],"['Kerrie Roberts', 'Stephanie Lewis', 'David Garcia']","['Kerrie Roberts', 'Stephanie Lewis', 'David Garcia']",52.0
1275,1422,6CNkW6aGznGoBhWrxiYHdqZU0Yi8KDvQ5hS43qriyik=,251777,['465'],['A Great Big World'],"['Ian Axel', 'Chad Vaccarino']","['Ian Axel', 'Chad Vaccarino']",52.0
1283,1431,1sdr2ivN8t/CVh50HvIyYRlQQ7sSXe8ocuAwyLXD1yU=,246892,['880'],['Royal Tailor'],"['Tauren Wells', 'Chuck Butler', 'Michael Fordinal']","['Tauren Wells', 'Chuck Butler', 'Michael Fordinal']",52.0
1285,1434,AaAIIpT8h4Wufe69RTL/SeGIcQFm4cpp+5WcEAnuJMk=,262582,['465'],['Honey L Days'],['Yumi Matsutoya'],['Yumi Matsutoya'],17.0
1287,1437,SzDNWvCk7GN6qTdORIBZkecrxlHg1JtcnapvC7S2yJc=,251592,['465'],['Ella Henderson'],"['Ella Henderson', 'Jamie Scott']","['Ella Henderson', 'Jamie Scott']",52.0
1303,1456,nTb9C0FrR7ggyK/Rj6+XBgDuXxQp52Vh4JmqgrIDX5M=,212227,['465'],['Britney Spears'],"['K. Ahlund', ' C. Karlsson', ' P. Winnberg']","['K. Ahlund', ' C. Karlsson', ' P. Winnberg']",52.0
1312,1467,CNLfpdtCLgy7HcwShY2ZbnoUP4LjCUbLokI8RPo+dBU=,295758,['465'],['Mark Forster'],"['Mark Cwiertnia', ' Philipp Steinke']","['Mark Cwiertnia', ' Philipp Steinke']",52.0
1316,1473,zkqUuAwBQCRHuQQ9jnz8jraJv4rMu578/T/XqJenKiE=,227979,['465'],['Gavin DeGraw'],['Diane Warren'],['Diane Warren'],52.0
1323,1481,BOwnkOHvQyF6Wxkq5q/oueMxGJ9azBl0nSQV8IYibmM=,233586,['1609'],['The Chainsmokers'],"['Andrew Taggart', ' Charlee Sara Nyman']","['Andrew Taggart', ' Charlee Sara Nyman']",52.0
1324,1482,HqhuhBAdhcr6/4FX+YAJo3HlhMqP+7lHaxiw2+mmaOE=,188795,['465'],['Paloma Faith'],"['Paloma Faith', 'Eric Appapoulay', 'Ben Drew', 'Kieron Mcintosh']","['Paloma Faith', 'Eric Appapoulay', 'Ben Drew', 'Kieron Mcintosh']",52.0
1325,1483,36PrAPZYaDSv9FdSBBHFe/Q37Sck9Qt7TI5PSXERsME=,187986,['465'],['Meghan Trainor'],"['Meghan Trainor', 'Kevin Kadish']","['Meghan Trainor', 'Kevin Kadish']",52.0
1326,1484,1B8FI/J4N03g6eG89S0WTsA08VSLYyZQr7p8hdO0s+U=,230435,['465'],['One Direction'],"['Harry Styles', 'Julian Bunetta', 'Jesse Shatkin', 'Louis Tomlinson', 'John Ryan', 'Jacob Kasher', 'Maureen Anne McDonald']","['Harry Styles', 'Julian Bunetta', 'Jesse Shatkin', 'Louis Tomlinson', 'John Ryan', 'Jacob Kasher', 'Maureen Anne McDonald']",52.0
1327,1485,akw+rnMir575QOVuylUnvO9h0cVjYbQCK7/gyncSJxU=,229806,['465'],['Ella Henderson'],"['Ella Henderson', 'Tom Barnes', 'Ben Kohn', 'Pete Kelleher', 'Camille Purcell']","['Ella Henderson', 'Tom Barnes', 'Ben Kohn', 'Pete Kelleher', 'Camille Purcell']",52.0
1329,1487,3doqcqIcNgokhkYZS+NMFuJlzGW2j0Qq2EAbXu1ho08=,220264,['921'],['Various Artists'],['Yoon Do Hyun'],"['Yoon Do Hyun', ' Lee Jang Mi']",31.0
1330,1488,Miywc1iLPb8oVEBhpfFl3OwOk3Nm3Y143tAbRmKgzCg=,215712,['2122'],['Min Chae'],['Min Chae'],['Min Chae'],31.0
1331,1489,H/ygVSRgE4wWfC7/XDpE9DEySYqG9Kg2a0M1dqxvAsw=,230932,['465'],['Fifth Harmony'],"['Jason Evigan', 'Tebey Ottoh', 'Marcus Lomax', 'Stefan Johnson', 'Jordan Johnson']","['Jason Evigan', 'Tebey Ottoh', 'Marcus Lomax', 'Stefan Johnson', 'Jordan Johnson']",52.0
1332,1490,dLwdjAFITzzdT/RLK3SUDaBquGmr6VQd88lPoLTDlcU=,222981,['465'],['Betty Who'],['Donna Lewis'],['Donna Lewis'],52.0
1334,1492,JdrSQ02hCruFPDLLIwJ6GpYxMW722wXL4jYkoRPzddc=,216121,['465'],['Sarah McLachlan'],"['Sarah McLachlan', ' Pierre Marchand']","['Sarah McLachlan', ' Pierre Marchand']",52.0
1335,1493,Y1y8SiJUoXNL3r9BYkQds1yR0nqlu2vuVynGMHbAkhU=,214893,['465'],['Andy Grammer'],['Andy Grammer'],['Andy Grammer'],52.0
1336,1494,0v/oXkAjLR4DdGAUgiVq86w6irtclbgfMUlDWL+5xJw=,199351,['1616'],['Mr. Probz'],['Giorgio Tuinfort'],"['Dennis P. Stehr', ' Aliaune Thiam', ' Jake Gosling']",52.0
1337,1495,ODl+l8Ku69scOyac57KEMMnlo+16uEdO5EtJUxrmEbw=,201271,['465'],['SUPER JUNIOR'],"['Anders Wigelius', ' Stephan Elfgren']","['Amon Hayashi for Digz', ' Inc. Group']",17.0
1338,1496,4FXn1hbTAlj6drru849Vp0qtnkK0iVO4gaaLUmI2c5k=,225071,['458'],['Dizzy Dizzo'],['Yong-Tai Liang'],['Wen-Xuan Huang'],3.0
1340,1498,rvPojHkAoVXDkPBhGLH7f2DWrEkWQgBEDBwFDwnZEbs=,161053,['359'],['Arctic Monkeys'],['Arctic Monkeys'],['Alex Turner'],52.0
1343,1502,2JRAng/dQK3IK2CGYjixhqw15Pah+HpglOEz7tlf5BQ=,190093,['139'],['Alicia Keys'],"['Alicia Keys', ' Mark Batson', ' Kaseem Dean', ' Harold Lilly']","['Alicia Keys', ' Mark Batson', ' Kaseem Dean', ' Harold Lilly']",52.0
1345,1504,RPtlaT692vXkcGRDEMxzfkBjc+rW9GnTg7LWNKmTH7A=,207238,['1259'],['Kid Ink'],"['Brian Todd Collins', 'Frederikus van Workum', 'Ned Cameron', 'Jonathan Lauture']","['Brian Todd Collins', 'Frederikus van Workum', 'Ned Cameron', 'Jonathan Lauture']",52.0
1347,1506,Ib8OiZMUjaiszDXxXatRLkHTvU62J8kP4Ox32uxfawg=,234169,['465'],['Hello Ga-Young'],['Baek Ga Young'],['Baek Ga Young'],31.0
1350,1509,sAi3/ZCAu5kaIltTJVVbJmeV0ULB6FFTQBfc6ohfUlE=,227483,['465'],['Little Mix'],"['Jesy Nelson', 'Leigh-Anne Pinnock', 'Maegan Cottone', 'Nathan Duvall', 'Perrie Edwards', 'Jade Thirlwall']","['Jesy Nelson', 'Leigh-Anne Pinnock', 'Maegan Cottone', 'Nathan Duvall', 'Perrie Edwards', 'Jade Thirlwall']",52.0
1354,1513,vIsREQKxaRm9PVm55xZp3jPc0pYLBff33XVPW+0YF/8=,189753,['2022'],['Killswitch Engage'],"['Adam Dutkiewicz', ' Howard Jones', ' Joel Stroezel', ' Justin Foley', "" Mike D'Antonio""]",['Howard Jones'],52.0
